"Station","DATA","Longitude [degrees_east]","Latitude [degrees_north]"
"18A - Carry","REPHY",5.159,43.322
"21E - ile embiez","REPHY",5.738,43.078
"22B - Toulon gde rade","REPHY",5.955,43.079
"27B - Frejus est","REPHY",6.905,43.422
"Agde","REPHY",3.521,43.259
"Agon (a)","REPHY",-1.629,49.053
"Anse de Carteau 2","REPHY",4.884,43.377
"Antifer ponton pétrolier","REPHY",0.132,49.666
"Antifer ponton pêche","REPHY",0.152,49.651
"Antioche","SOMLIT",-1.308,46.084
"Antoine","REPHY",4.846,43.378
"Arcachon - Bouée 7","REPHY",-1.241,44.568
"Astan","SOMLIT",-3.938,48.778
"At so","REPHY",1.475,50.231
"Auger","REPHY",-1.205,45.8
"BIS - Biguglia sud","REPHY",9.486,42.577
"Barcares","REPHY",3.057,42.875
"Barfleur gisement","REPHY",-1.252,49.707
"Basse Michaud","REPHY",-2.583,47.229
"Beauvoir - le Gois","REPHY",-2.114,46.928
"Beg Douar","REPHY",-3.616,48.684
"Berre sud","REPHY",5.106,43.419
"Bif","REPHY",1.591,50.216
"Bizeux","SOMLIT",-2.033,48.633
"Bois de la Chaise (a)","REPHY",-2.212,47.003
"Bois de la Chaise large","REPHY",-2.199,47.019
"Bouchots Tardinghen","REPHY",1.615,50.877
"Bouee 13","SOMLIT",-1.238,44.633
"Bouye","REPHY",6.667,43.269
"Bouzigues (a)","REPHY",3.664,43.435
"Bouée Carosse","REPHY",0.025,49.484
"Bouée de Luc 2 milles","REPHY",-0.308,49.346
"Bouée des palles","REPHY",-1.16,45.992
"Boyard","REPHY",-1.208,45.969
"Breville (a)","REPHY",-1.582,48.862
"Bréhat","REPHY",-3.012,48.823
"Cabourg","REPHY",-0.117,49.298
"Calvi","REPHY",8.726,42.581
"Camaret (a)","REPHY",-4.585,48.278
"Cancale nord (b)","REPHY",-1.845,48.676
"Cap Canaille","REPHY",5.553,43.187
"Cap Corse","REPHY",9.478,42.991
"Capitello  2","REPHY",8.757,41.897
"Cargèse","REPHY",8.594,42.126
"Carteau 14","REPHY",4.879,43.383
"Comprian","SOMLIT",-1.102,44.678
"Comète","REPHY",4.24,43.466
"Concarneau large","REPHY",-3.95,47.833
"Cortiou","REPHY",5.381,43.196
"Cotard","REPHY",-1.111,45.775
"Coupelasse large","REPHY",-2.061,47.042
"Coupelasse-Fiol","REPHY",-2.03,47.02
"Courbe","REPHY",4.695,43.349
"Couronne","REPHY",5.053,43.324
"Cézembre","SOMLIT",-2.067,48.686
"Côte Sauvage","REPHY",-1.28,45.727
"Diana centre","REPHY",9.525,42.128
"Digue de Querqueville","REPHY",-1.663,49.672
"Donville","REPHY",-1.629,48.841
"Ecocéan","REPHY",-1.559,44.628
"Endoume","REPHY",5.292,43.242
"Estacade","SOMLIT",-3.983,48.732
"Etang d'Urbino - Centre","REPHY",9.478,42.046
"Eyrac","SOMLIT",-1.143,44.664
"FLAM - Dielette","REPHY",-1.919,49.547
"Filière w","REPHY",-1.377,46.278
"Filières de Gruissan","REPHY",3.134,43.095
"Frioul","SOMLIT",5.292,43.242
"Gatteville phare","REPHY",-1.262,49.695
"Golfe de Porto Vecchio","REPHY",9.311,41.61
"Golfe de Saint Florent","REPHY",9.308,42.708
"Golfe de Sant'Amanza 1","REPHY",9.233,41.42
"Goulet de Bonifacio","REPHY",9.153,41.39
"Grand Rhône","REPHY",4.803,43.386
"Grandcamp prise eau base","REPHY",-1.092,49.383
"Grande Rade","REPHY",-0.011,49.521
"Granville","REPHY",-1.598,48.839
"Grau Leucate","REPHY",3.035,42.885
"Gresseloup","REPHY",-2.134,46.948
"Groix Filières","REPHY",-3.456,47.647
"Géfosse","REPHY",-1.107,49.39
"Hossegor amont","REPHY",-1.43,43.677
"Houat","REPHY",-2.947,47.409
